longitude;latitude;Rooms;Bedrooms;price;house id
-122.23;37.88;7;4;50905,01105;Home1
-122.22;37.86;4;1;610511,9946;Home2
-122.24;37.85;4;1;591936,6297;Home3
-122.25;37.85;6;4;138520,9918;Home4
-122.25;37.85;5;3;175598,0355;Home5
-122.25;37.85;5;3;344307,5897;Home6
-122.25;37.84;8;6;584655,5512;Home7
-122.25;37.84;6;4;192782,2928;Home8
-122.26;37.84;9;6;99649,82619;Home9
-122.25;37.84;12;9;252401,4039;Home10
-122.26;37.85;8;5;475533,1163;Home11
-122.26;37.85;8;6;136903,7828;Home12
-122.26;37.85;5;3;115114,9745;Home13
-122.26;37.84;11;9;344792,8251;Home14
-122.26;37.85;9;7;275776,486;Home15
-122.26;37.85;11;8;134960,2763;Home16
-122.27;37.85;8;6;48320,59241;Home17
-122.27;37.85;10;7;235198,6348;Home18
-122.26;37.84;5;3;96252,49947;Home19
-122.27;37.84;8;5;46120,39913;Home20
-122.27;37.85;10;7;59813,73841;Home21
-122.27;37.85;6;4;170194,5815;Home22
-122.27;37.84;8;5;134697,6732;Home23
-122.27;37.84;7;5;86270,61345;Home24
-122.27;37.84;11;9;194471,0542;Home25
-122.28;37.85;5;3;73193,90376;Home26
-122.28;37.85;11;8;130837,4024;Home27
-122.28;37.85;4;2;80206,32811;Home28
-122.28;37.84;5;3;136244,6438;Home29
-122.28;37.84;11;9;130694,9165;Home30
-122.28;37.84;8;5;168068,3492;Home31
-122.28;37.84;6;4;199274,1806;Home32
-122.27;37.84;6;3;59885,48982;Home33
-122.27;37.83;6;4;177735,2179;Home34
-122.27;37.83;11;8;8072,485492;Home35
-122.27;37.83;10;7;25177,05353;Home36
-122.27;37.83;9;6;122873,2832;Home37
-122.28;37.83;8;6;190378,0183;Home38
-122.26;37.83;9;7;53734,23249;Home39
-122.26;37.83;10;7;75072,65756;Home40
-122.26;37.83;5;3;222616,5019;Home41
-122.26;37.83;10;7;175473,4096;Home42
-122.26;37.84;10;7;159406,9329;Home43
-122.26;37.84;6;4;327049,2684;Home44
-122.26;37.83;5;2;137565,032;Home45
-122.26;37.83;9;7;87090,87368;Home46
-122.26;37.83;10;8;46245,52999;Home47
-122.27;37.82;6;3;184505,4116;Home48
-122.26;37.82;9;7;161840,7525;Home49
-122.27;37.82;7;4;6796,416595;Home50
-122.27;37.82;12;10;26446,29633;Home51
-122.27;37.82;4;2;132654,2346;Home52
-122.27;37.82;7;4;92944,51795;Home53
-122.27;37.82;12;9;72482,48144;Home54
-122.28;37.82;4;2;131373,596;Home55
-122.28;37.82;11;9;134795,5756;Home56
-122.28;37.82;12;10;14830,90072;Home57
-122.28;37.82;12;10;124540,9732;Home58
-122.29;37.82;12;9;63506,61222;Home59
-122.29;37.83;12;9;44856,07661;Home60
-122.29;37.82;6;3;107152,7256;Home61
-122.29;37.81;11;8;160829,9014;Home62
-122.3;37.81;5;3;127868,9128;Home63
-122.3;37.81;10;7;53479,80226;Home64
-122.3;37.81;9;6;112888,9544;Home65
-122.3;37.81;10;8;112671,6963;Home66
-122.29;37.8;12;9;53886,44462;Home67
-122.3;37.81;11;8;33691,24295;Home68
-122.29;37.81;8;5;202769,6095;Home69
-122.29;37.81;4;2;66087,14232;Home70
-122.29;37.81;11;8;28839,95698;Home71
-122.29;37.81;11;9;125178,1018;Home72
-122.29;37.81;10;8;97663,06421;Home73
-122.29;37.81;8;6;200923,3577;Home74
-122.28;37.81;4;2;57060,84274;Home75
-122.28;37.81;7;4;76243,97703;Home76
-122.28;37.81;5;2;38993,09161;Home77
-122.29;37.81;5;3;165892,0587;Home78
-122.28;37.8;5;2;34487,51305;Home79
-122.28;37.81;4;1;129958,0755;Home80
-122.27;37.81;4;2;159856,6487;Home81
-122.28;37.81;10;8;81507,05759;Home82
-122.28;37.81;5;2;234974,6652;Home83
-122.28;37.81;6;4;232159,259;Home84
-122.28;37.81;9;7;89879,09067;Home85
-122.27;37.81;6;3;170540,4552;Home86
-122.27;37.81;6;3;15931,29053;Home87
-122.27;37.8;7;4;122062,9258;Home88
-122.27;37.8;4;1;436114,1083;Home89
-122.27;37.8;6;3;127666,341;Home90
-122.28;37.8;7;4;101291,0729;Home91
-122.28;37.8;9;6;74491,90035;Home92
-122.27;37.79;9;6;122567,5328;Home93
-122.27;37.8;10;7;283448,0986;Home94
-122.26;37.8;12;10;83866,78391;Home95
-122.26;37.82;5;2;171127,0715;Home96
-122.26;37.81;7;4;112210,889;Home97
-122.26;37.82;6;3;24973,56322;Home98
-122.26;37.82;9;7;12967,09434;Home99
-122.25;37.81;8;5;392701,5528;Home100
-122.25;37.81;6;3;498747,1141;Home101
-122.25;37.81;7;5;105822,2094;Home102
-122.25;37.81;10;8;432049,0687;Home103
-122.26;37.81;11;9;414844,5725;Home104
-122.24;37.82;10;7;224416,8857;Home105
-122.24;37.81;8;5;487020,5208;Home106
-122.25;37.81;11;9;263490,7391;Home107
-122.24;37.82;9;7;398397,3405;Home108
-122.25;37.82;5;2;211053,0402;Home109
-122.25;37.82;5;2;472358,2327;Home110
-122.25;37.82;6;4;394794,1425;Home111
-122.25;37.82;11;9;497185,152;Home112
-122.25;37.83;7;5;363098,8311;Home113
-122.25;37.83;10;7;107132,7575;Home114
-122.25;37.83;9;6;48510,59346;Home115
-122.25;37.83;9;7;43801,14716;Home116
-122.25;37.83;8;5;218265,128;Home117
-122.23;37.84;6;3;23674,85368;Home118
-122.23;37.84;5;3;463364,0062;Home119
